"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","North And Middle Andaman","2019-04-26","2019","04","0.196750438","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-27","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-29","2019","04","23.72776834","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-02","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-03","2019","04","0.105016519","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-04","2019","04","0.250846503","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-05","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-06","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-07","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-08","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-09","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-10","2019","04","0.139914087","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-11","2019","04","0.046617271","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-13","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-15","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-17","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-18","2019","04","0.153950332","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-19","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-20","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-21","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-22","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-23","2019","04","0.030389031","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-25","2019","04","0.129489653","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-26","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-27","2019","04","3.649622956","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-28","2019","04","0.114930318","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-29","2019","04","15.28397619","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2019-04-30","2019","04","38.59801712","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-01","2019","04","0.134025626","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-02","2019","04","0.883826975","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-04","2019","04","0.006315223","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-05","2019","04","0.01350167","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-06","2019","04","0.449307369","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-10","2019","04","7.027661528","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-15","2019","04","0.194476599","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-17","2019","04","2.179738381","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-18","2019","04","0.657204201","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-19","2019","04","0.437107157","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-20","2019","04","0.142496629","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-23","2019","04","0.831684131","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-25","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-26","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-27","2019","04","0.04920035","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-28","2019","04","0.731262867","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-29","2019","04","1.676856102","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-30","2019","04","6.508680809","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-07","2019","04","0.054664324","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-08","2019","04","2.305906087","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-09","2019","04","15.68506852","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-11","2019","04","1.691611598","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-13","2019","04","0.016385776","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-21","2019","04","0.160904505","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2019-04-22","2019","04","0.752573287","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-02","2019","04","0.084113768","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-03","2019","04","NA","NRSC VIC MODEL"
